[0.010s][info][gc,init] CardTable entry size: 512
[0.010s][info][gc     ] Using G1
[0.018s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.019s][info][gc,init] CPUs: 12 total, 12 available
[0.019s][info][gc,init] Memory: 16190M
[0.019s][info][gc,init] Large Page Support: Disabled
[0.019s][info][gc,init] NUMA Support: Disabled
[0.019s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.019s][info][gc,init] Heap Region Size: 2M
[0.019s][info][gc,init] Heap Min Capacity: 2G
[0.019s][info][gc,init] Heap Initial Capacity: 2G
[0.019s][info][gc,init] Heap Max Capacity: 4G
[0.019s][info][gc,init] Pre-touch: Disabled
[0.019s][info][gc,init] Parallel Workers: 10
[0.019s][info][gc,init] Concurrent Workers: 3
[0.019s][info][gc,init] Concurrent Refinement Workers: 10
[0.019s][info][gc,init] Periodic GC: Disabled
[0.027s][info][gc,metaspace] CDS archive(s) mapped at: [0x000001c680000000-0x000001c680c90000-0x000001c680c90000), size 13172736, SharedBaseAddress: 0x000001c680000000, ArchiveRelocationMode: 1.
[0.027s][info][gc,metaspace] Compressed class space mapped at: 0x000001c681000000-0x000001c6c1000000, reserved size: 1073741824
[0.027s][info][gc,metaspace] Narrow klass base: 0x000001c680000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.424s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.425s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.430s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[0.430s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[0.430s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 4.5ms
[0.430s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.4ms
[0.430s][info][gc,phases   ] GC(0)   Other: 0.9ms
[0.430s][info][gc,heap     ] GC(0) Eden regions: 51->0(47)
[0.430s][info][gc,heap     ] GC(0) Survivor regions: 0->5(7)
[0.430s][info][gc,heap     ] GC(0) Old regions: 0->0
[0.430s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[0.430s][info][gc,metaspace] GC(0) Metaspace: 1702K(1792K)->1702K(1792K) NonClass: 1559K(1600K)->1559K(1600K) Class: 143K(192K)->143K(192K)
[0.430s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 102M->9M(2048M) 6.422ms
[0.430s][info][gc,cpu      ] GC(0) User=0.00s Sys=0.00s Real=0.01s
[0.556s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.557s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.562s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.2ms
[0.562s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.562s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 4.8ms
[0.562s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.3ms
[0.562s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.562s][info][gc,heap     ] GC(1) Eden regions: 47->0(59)
[0.562s][info][gc,heap     ] GC(1) Survivor regions: 5->3(7)
[0.562s][info][gc,heap     ] GC(1) Old regions: 0->4
[0.562s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.562s][info][gc,metaspace] GC(1) Metaspace: 1712K(1792K)->1712K(1792K) NonClass: 1569K(1600K)->1569K(1600K) Class: 143K(192K)->143K(192K)
[0.562s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 103M->11M(2048M) 5.860ms
[0.562s][info][gc,cpu      ] GC(1) User=0.16s Sys=0.00s Real=0.01s
[0.681s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.682s][info][gc,task     ] GC(2) Using 10 workers of 10 for evacuation
[0.689s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.2ms
[0.689s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.2ms
[0.689s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 7.1ms
[0.689s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.3ms
[0.689s][info][gc,phases   ] GC(2)   Other: 0.1ms
[0.689s][info][gc,heap     ] GC(2) Eden regions: 59->0(69)
[0.689s][info][gc,heap     ] GC(2) Survivor regions: 3->7(8)
[0.689s][info][gc,heap     ] GC(2) Old regions: 4->4
[0.690s][info][gc,heap     ] GC(2) Humongous regions: 2->1
[0.690s][info][gc,metaspace] GC(2) Metaspace: 1726K(1792K)->1726K(1792K) NonClass: 1583K(1600K)->1583K(1600K) Class: 143K(192K)->143K(192K)
[0.690s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 133M->22M(2048M) 8.204ms
[0.690s][info][gc,cpu      ] GC(2) User=0.09s Sys=0.09s Real=0.01s
[0.771s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[0.771s][info][gc,task     ] GC(3) Using 10 workers of 10 for evacuation
[0.779s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.2ms
[0.779s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.1ms
[0.779s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 7.1ms
[0.779s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.3ms
[0.779s][info][gc,phases   ] GC(3)   Other: 0.1ms
[0.779s][info][gc,heap     ] GC(3) Eden regions: 60->0(124)
[0.779s][info][gc,heap     ] GC(3) Survivor regions: 7->5(9)
[0.779s][info][gc,heap     ] GC(3) Old regions: 4->6
[0.779s][info][gc,heap     ] GC(3) Humongous regions: 1->1
