[0.011s][info][gc,init] CardTable entry size: 512
[0.011s][info][gc     ] Using G1
[0.021s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.021s][info][gc,init] CPUs: 12 total, 12 available
[0.021s][info][gc,init] Memory: 16190M
[0.021s][info][gc,init] Large Page Support: Disabled
[0.021s][info][gc,init] NUMA Support: Disabled
[0.021s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.021s][info][gc,init] Heap Region Size: 2M
[0.021s][info][gc,init] Heap Min Capacity: 2G
[0.021s][info][gc,init] Heap Initial Capacity: 2G
[0.021s][info][gc,init] Heap Max Capacity: 4G
[0.021s][info][gc,init] Pre-touch: Disabled
[0.021s][info][gc,init] Parallel Workers: 10
[0.021s][info][gc,init] Concurrent Workers: 3
[0.022s][info][gc,init] Concurrent Refinement Workers: 10
[0.022s][info][gc,init] Periodic GC: Disabled
[0.030s][info][gc,metaspace] CDS archive(s) mapped at: [0x000001a8d2000000-0x000001a8d2c90000-0x000001a8d2c90000), size 13172736, SharedBaseAddress: 0x000001a8d2000000, ArchiveRelocationMode: 1.
[0.031s][info][gc,metaspace] Compressed class space mapped at: 0x000001a8d3000000-0x000001a913000000, reserved size: 1073741824
[0.031s][info][gc,metaspace] Narrow klass base: 0x000001a8d2000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.532s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.533s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.537s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[0.537s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[0.537s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 3.8ms
[0.537s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.5ms
[0.537s][info][gc,phases   ] GC(0)   Other: 1.0ms
[0.537s][info][gc,heap     ] GC(0) Eden regions: 51->0(44)
[0.537s][info][gc,heap     ] GC(0) Survivor regions: 0->7(7)
[0.537s][info][gc,heap     ] GC(0) Old regions: 0->4
[0.538s][info][gc,heap     ] GC(0) Humongous regions: 1->0
[0.538s][info][gc,metaspace] GC(0) Metaspace: 1317K(1472K)->1317K(1472K) NonClass: 1219K(1280K)->1219K(1280K) Class: 97K(192K)->97K(192K)
[0.538s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 104M->21M(2048M) 5.973ms
[0.538s][info][gc,cpu      ] GC(0) User=0.00s Sys=0.00s Real=0.01s
[0.701s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.701s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.706s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.3ms
[0.706s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.706s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 4.0ms
[0.706s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.4ms
[0.706s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.706s][info][gc,heap     ] GC(1) Eden regions: 44->0(44)
[0.706s][info][gc,heap     ] GC(1) Survivor regions: 7->7(7)
[0.706s][info][gc,heap     ] GC(1) Old regions: 4->12
[0.706s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.706s][info][gc,metaspace] GC(1) Metaspace: 1319K(1472K)->1319K(1472K) NonClass: 1221K(1280K)->1221K(1280K) Class: 97K(192K)->97K(192K)
[0.706s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 109M->37M(2048M) 5.051ms
[0.706s][info][gc,cpu      ] GC(1) User=0.00s Sys=0.00s Real=0.00s
[0.774s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.774s][info][gc,task     ] GC(2) Using 10 workers of 10 for evacuation
[0.779s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.2ms
[0.779s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.1ms
[0.779s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 4.5ms
[0.779s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.4ms
[0.779s][info][gc,phases   ] GC(2)   Other: 0.1ms
[0.779s][info][gc,heap     ] GC(2) Eden regions: 44->0(44)
[0.779s][info][gc,heap     ] GC(2) Survivor regions: 7->7(7)
[0.779s][info][gc,heap     ] GC(2) Old regions: 12->21
[0.779s][info][gc,heap     ] GC(2) Humongous regions: 0->0
[0.779s][info][gc,metaspace] GC(2) Metaspace: 1320K(1472K)->1320K(1472K) NonClass: 1222K(1280K)->1222K(1280K) Class: 97K(192K)->97K(192K)
[0.779s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 125M->55M(2048M) 5.505ms
[0.779s][info][gc,cpu      ] GC(2) User=0.14s Sys=0.00s Real=0.00s
[0.842s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[0.842s][info][gc,task     ] GC(3) Using 10 workers of 10 for evacuation
[0.847s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.3ms
[0.847s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.1ms
[0.847s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 4.4ms
[0.847s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.6ms
[0.847s][info][gc,phases   ] GC(3)   Other: 0.1ms
[0.847s][info][gc,heap     ] GC(3) Eden regions: 44->0(61)
[0.847s][info][gc,heap     ] GC(3) Survivor regions: 7->7(7)
[0.847s][info][gc,heap     ] GC(3) Old regions: 21->30
[0.847s][info][gc,heap     ] GC(3) Humongous regions: 0->0
[0.847s][info][gc,metaspace] GC(3) Metaspace: 1320K(1472K)->1320K(1472K) NonClass: 1222K(1280K)->1222K(1280K) Class: 97K(192K)->97K(192K)
[0.847s][info][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 143M->72M(2048M) 5.650ms
[0.847s][info][gc,cpu      ] GC(3) User=0.02s Sys=0.00s Real=0.00s
[0.931s][info][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[0.931s][info][gc,task     ] GC(4) Using 10 workers of 10 for evacuation
[0.939s][info][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.3ms
[0.939s][info][gc,phases   ] GC(4)   Merge Heap Roots: 0.1ms
[0.939s][info][gc,phases   ] GC(4)   Evacuate Collection Set: 6.7ms
[0.939s][info][gc,phases   ] GC(4)   Post Evacuate Collection Set: 0.5ms
[0.939s][info][gc,phases   ] GC(4)   Other: 0.1ms
[0.939s][info][gc,heap     ] GC(4) Eden regions: 61->0(76)
[0.939s][info][gc,heap     ] GC(4) Survivor regions: 7->9(9)
[0.939s][info][gc,heap     ] GC(4) Old regions: 30->40
[0.939s][info][gc,heap     ] GC(4) Humongous regions: 0->0
[0.939s][info][gc,metaspace] GC(4) Metaspace: 1320K(1472K)->1320K(1472K) NonClass: 1222K(1280K)->1222K(1280K) Class: 97K(192K)->97K(192K)
