[0.014s][info][gc,init] CardTable entry size: 512
[0.015s][info][gc     ] Using G1
[0.028s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.029s][info][gc,init] CPUs: 12 total, 12 available
[0.029s][info][gc,init] Memory: 16190M
[0.029s][info][gc,init] Large Page Support: Disabled
[0.029s][info][gc,init] NUMA Support: Disabled
[0.029s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.029s][info][gc,init] Heap Region Size: 2M
[0.029s][info][gc,init] Heap Min Capacity: 2G
[0.029s][info][gc,init] Heap Initial Capacity: 2G
[0.029s][info][gc,init] Heap Max Capacity: 4G
[0.029s][info][gc,init] Pre-touch: Disabled
[0.029s][info][gc,init] Parallel Workers: 10
[0.029s][info][gc,init] Concurrent Workers: 3
[0.029s][info][gc,init] Concurrent Refinement Workers: 10
[0.029s][info][gc,init] Periodic GC: Disabled
[0.038s][info][gc,metaspace] CDS archive(s) mapped at: [0x00000123ab000000-0x00000123abc90000-0x00000123abc90000), size 13172736, SharedBaseAddress: 0x00000123ab000000, ArchiveRelocationMode: 1.
[0.038s][info][gc,metaspace] Compressed class space mapped at: 0x00000123ac000000-0x00000123ec000000, reserved size: 1073741824
[0.038s][info][gc,metaspace] Narrow klass base: 0x00000123ab000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.518s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.519s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.524s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[0.524s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.2ms
[0.524s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 3.5ms
[0.524s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.5ms
[0.524s][info][gc,phases   ] GC(0)   Other: 1.3ms
[0.524s][info][gc,heap     ] GC(0) Eden regions: 51->0(51)
[0.524s][info][gc,heap     ] GC(0) Survivor regions: 0->4(7)
[0.524s][info][gc,heap     ] GC(0) Old regions: 0->0
[0.524s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[0.524s][info][gc,metaspace] GC(0) Metaspace: 1483K(1600K)->1483K(1600K) NonClass: 1365K(1408K)->1365K(1408K) Class: 118K(192K)->118K(192K)
[0.524s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 102M->6M(2048M) 6.023ms
[0.524s][info][gc,cpu      ] GC(0) User=0.02s Sys=0.00s Real=0.01s
[0.727s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.728s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.733s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.2ms
[0.733s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.733s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 4.2ms
[0.733s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.5ms
[0.733s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.733s][info][gc,heap     ] GC(1) Eden regions: 51->0(61)
[0.733s][info][gc,heap     ] GC(1) Survivor regions: 4->6(7)
[0.733s][info][gc,heap     ] GC(1) Old regions: 0->0
[0.733s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.733s][info][gc,metaspace] GC(1) Metaspace: 1497K(1600K)->1497K(1600K) NonClass: 1378K(1408K)->1378K(1408K) Class: 118K(192K)->118K(192K)
[0.733s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 108M->10M(2048M) 5.381ms
[0.733s][info][gc,cpu      ] GC(1) User=0.00s Sys=0.00s Real=0.01s
[0.961s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
