[0.012s][info][gc,init] CardTable entry size: 512
[0.012s][info][gc     ] Using G1
[0.020s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.020s][info][gc,init] CPUs: 12 total, 12 available
[0.020s][info][gc,init] Memory: 16190M
[0.020s][info][gc,init] Large Page Support: Disabled
[0.020s][info][gc,init] NUMA Support: Disabled
[0.020s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.020s][info][gc,init] Heap Region Size: 2M
[0.020s][info][gc,init] Heap Min Capacity: 2G
[0.020s][info][gc,init] Heap Initial Capacity: 2G
[0.020s][info][gc,init] Heap Max Capacity: 4G
[0.020s][info][gc,init] Pre-touch: Disabled
[0.020s][info][gc,init] Parallel Workers: 10
[0.020s][info][gc,init] Concurrent Workers: 3
[0.021s][info][gc,init] Concurrent Refinement Workers: 10
[0.021s][info][gc,init] Periodic GC: Disabled
[0.028s][info][gc,metaspace] CDS archive(s) mapped at: [0x000001a70f000000-0x000001a70fc90000-0x000001a70fc90000), size 13172736, SharedBaseAddress: 0x000001a70f000000, ArchiveRelocationMode: 1.
[0.028s][info][gc,metaspace] Compressed class space mapped at: 0x000001a710000000-0x000001a750000000, reserved size: 1073741824
[0.028s][info][gc,metaspace] Narrow klass base: 0x000001a70f000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.404s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.405s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.410s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.3ms
[0.410s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[0.410s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 4.3ms
[0.410s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.4ms
[0.410s][info][gc,phases   ] GC(0)   Other: 0.6ms
[0.410s][info][gc,heap     ] GC(0) Eden regions: 51->0(46)
[0.410s][info][gc,heap     ] GC(0) Survivor regions: 0->5(7)
[0.410s][info][gc,heap     ] GC(0) Old regions: 0->0
[0.410s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[0.411s][info][gc,metaspace] GC(0) Metaspace: 1653K(1728K)->1653K(1728K) NonClass: 1511K(1536K)->1511K(1536K) Class: 142K(192K)->142K(192K)
[0.411s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 102M->9M(2048M) 6.109ms
[0.411s][info][gc,cpu      ] GC(0) User=0.12s Sys=0.05s Real=0.01s
[0.522s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.522s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.527s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.2ms
[0.527s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.527s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 4.4ms
[0.527s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.3ms
[0.527s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.527s][info][gc,heap     ] GC(1) Eden regions: 46->0(55)
[0.528s][info][gc,heap     ] GC(1) Survivor regions: 5->3(7)
[0.528s][info][gc,heap     ] GC(1) Old regions: 0->3
[0.528s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.528s][info][gc,metaspace] GC(1) Metaspace: 1667K(1792K)->1667K(1792K) NonClass: 1525K(1600K)->1525K(1600K) Class: 142K(192K)->142K(192K)
[0.528s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 101M->11M(2048M) 5.308ms
